airplane,"""airplane""","""airplane"""
baseball bat,"""baseball bat""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"""
basket,"""basket""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"""
basketball,"""basketball""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"""
bat,"""bat""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"""
bathroom,"""bathroom""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"""
bathtub,"""bathtub""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"""
battery,"""battery""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"""
beach,"""beach""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"""
bear,"""bear""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"""
beard,"""beard""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"""
beaver,"""beaver""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"""
bed,"""bed""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"""
bee,"""bee""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"""
bell,"""bell""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"""
belt,"""belt""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"""
bench,"""bench""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"""
bicycle,"""bicycle""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"""
binoculars,"""binoculars""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"""
bird,"""bird""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"""
birthday cake,"""birthday cake""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"""
blackberry,"""blackberry""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"""
blocks,"""blocks""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"""
blueberry,"""blueberry""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"""
bomb,"""bomb""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"""
bone,"""bone""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"""
book,"""book""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"""
boomerang,"""boomerang""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"""
boot,"""boot""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"""
bottlecap,"""bottlecap""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"""
bowl,"""bowl""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"""
bowtie,"""bowtie""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"""
boy,"""boy""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"""
bracelet,"""bracelet""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"""
brain,"""brain""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"""
branch,"""branch""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"""
bread,"""bread""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"""
bridge,"""bridge""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"", ""bridge"""
broccoli,"""broccoli""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"", ""bridge"", ""broccoli"""
broom,"""broom""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"", ""bridge"", ""broccoli"", ""broom"""
bucket,"""bucket""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"", ""bridge"", ""broccoli"", ""broom"", ""bucket"""
bug,"""bug""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"", ""bridge"", ""broccoli"", ""broom"", ""bucket"", ""bug"""
bulb,"""bulb""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"", ""baseball bat"", ""basket"", ""basketball"", ""bat"", ""bathroom"", ""bathtub"", ""battery"", ""beach"", ""bear"", ""beard"", ""beaver"", ""bed"", ""bee"", ""bell"", ""belt"", ""bench"", ""bicycle"", ""binoculars"", ""bird"", ""birthday cake"", ""blackberry"", ""blocks"", ""blueberry"", ""bomb"", ""bone"", ""book"", ""boomerang"", ""boot"", ""bottlecap"", ""bowl"", ""bowtie"", ""boy"", ""bracelet"", ""brain"", ""branch"", ""bread"", ""bridge"", ""broccoli"", ""broom"", ""bucket"", ""bug"", ""bulb"""
